date,Original,Predicted
2019-09-14,186025,162437
2019-09-15,157588,157768
2019-09-16,140662,151879
2019-09-17,138761,149110
2019-09-18,147210,149769
2019-09-19,156954,153125
2019-09-20,157500,158340
2019-09-21,142107,130720
2019-09-22,109074,131086
2019-09-23,146444,148188
2019-09-24,139790,144511
2019-09-25,175847,149422
2019-09-26,173369,153433
2019-09-27,166341,153348
2019-09-28,164784,163053
2019-09-29,166866,157824
2019-09-30,156604,146945
2019-10-01,116319,142278
2019-10-02,90167,128588
2019-10-03,120438,153973
2019-10-04,138047,159047
2019-10-05,155358,159882
2019-10-06,154637,154203
2019-10-07,144949,150569
2019-10-08,148572,146006
2019-10-09,154234,145354
2019-10-10,155208,149919
2019-10-11,156208,157873
2019-10-12,160706,160209
2019-10-13,152478,153714
2019-10-14,147500,147126
2019-10-15,150874,143547
2019-10-16,159100,146362
2019-10-17,164290,151119
2019-10-18,168514,154902
2019-10-19,169586,159057
2019-10-20,161546,154032
2019-10-21,155362,148678
2019-10-22,156961,147879
2019-10-23,161486,149693
2019-10-24,166530,151640
2019-10-25,170530,157061
2019-10-26,170114,155647
2019-10-27,161497,150739
2019-10-28,153741,144702
2019-10-29,152988,144603
2019-10-30,164745,145244
2019-10-31,159404,148064
2019-11-01,138950,155137
2019-11-02,145187,157889
2019-11-03,138562,152471
2019-11-04,130056,146821
2019-11-05,128548,144239
2019-11-06,133732,145039
2019-11-07,144330,147769
2019-11-08,157496,150570
2019-11-09,152008,154012
2019-11-10,147749,150143
2019-11-11,144848,146979
2019-11-12,148096,141709
2019-11-13,137154,144348
2019-11-14,150584,143552
2019-11-15,161388,149114
2019-11-16,158280,155723
2019-11-17,150958,155752
2019-11-18,137064,138208
2019-11-19,130386,138296
2019-11-20,133343,139890
2019-11-21,139094,145941
2019-11-22,148078,154435
2019-11-23,164717,158882
2019-11-24,155519,153258
2019-11-25,138786,139144
2019-11-26,132528,140959
2019-11-27,152478,139885
2019-11-28,142093,143473
2019-11-29,156608,148157
2019-11-30,149916,152661
2019-12-01,127428,145071
2019-12-02,110145,141086
2019-12-03,106911,138483
2019-12-04,119872,141605
2019-12-05,117932,142212
2019-12-06,135527,143188
2019-12-07,143234,149604
2019-12-08,152103,146125
2019-12-09,135418,141084
2019-12-10,123816,140665
2019-12-11,123886,142551
2019-12-12,149842,142661
2019-12-13,141886,147040
2019-12-14,144798,151985
2019-12-15,141806,148832
2019-12-16,147140,145949
2019-12-17,134463,141338
2019-12-18,148620,140200
2019-12-19,142121,142126
2019-12-20,155281,147545
2019-12-21,162120,150461
2019-12-22,150832,147196
2019-12-23,147578,140827
2019-12-24,150518,138128
2019-12-25,153450,142955
2019-12-26,160122,142471
2019-12-27,166456,147453
2019-12-28,175858,150309
2019-12-29,170919,146603
2019-12-30,170930,144705
2019-12-31,170905,131145
2020-01-01,145506,137553
2020-01-02,146048,143979
2020-01-03,145733,148948
2020-01-04,147774,150137
2020-01-05,142499,146889
2020-01-06,139934,146204
2020-01-07,138562,146957
2020-01-08,144865,138012
2020-01-09,150423,143022
2020-01-10,155550,148553
2020-01-11,160930,151757
2020-01-12,158854,146299
2020-01-13,155603,139842
2020-01-14,154136,134486
2020-01-15,157476,138433
2020-01-16,158564,142078
2020-01-17,160346,147402
2020-01-18,160402,150323
2020-01-19,152814,148045
2020-01-20,145915,141032
2020-01-21,136216,137468
2020-01-22,135440,140174
2020-01-23,146209,146538
2020-01-24,185402,153175
2020-01-25,212772,155601
2020-01-26,193683,149097
2020-01-27,155992,132375
2020-01-28,142566,141211
2020-01-29,133014,143172
2020-01-30,127785,144364
2020-01-31,127351,149544
2020-02-01,120806,152584
2020-02-02,98970,146335
2020-02-03,92001,140355
2020-02-04,88238,136764
2020-02-05,85816,135457
2020-02-06,102742,139913
2020-02-07,89330,147929
2020-02-08,93107,151544
2020-02-09,92428,146020
2020-02-10,90132,144528
2020-02-11,90118,142398
2020-02-12,89082,146565
2020-02-13,98514,148786
2020-02-14,105864,155744
2020-02-15,116106,159523
2020-02-16,112168,140628
2020-02-17,119035,136765
2020-02-18,123921,136880
2020-02-19,127820,140338
2020-02-20,131789,146940
2020-02-21,134673,154673
2020-02-22,133718,155528
2020-02-23,127596,147262
2020-02-24,135384,146019
2020-02-25,110915,147864
2020-02-26,106477,147164
2020-02-27,104850,147094
2020-02-28,103856,153303
2020-02-29,103852,155368
2020-03-01,68985,151955
2020-03-02,73966,142852
2020-03-03,76450,142575
2020-03-04,79586,143018
2020-03-05,82418,142994
2020-03-06,85900,149833
2020-03-07,85550,155883
2020-03-08,84735,153014
2020-03-09,83898,144356
2020-03-10,82176,137379
2020-03-11,88928,143716
2020-03-12,93940,147205
2020-03-13,115521,154363
2020-03-14,104156,154738
2020-03-15,98679,151724
2020-03-16,98140,142352
2020-03-17,97419,144517
2020-03-18,98388,150121
2020-03-19,99883,149574
2020-03-20,103271,155557
2020-03-21,105490,163582
2020-03-22,103138,154984
2020-03-23,103562,148248
2020-03-24,101244,146082
2020-03-25,123932,151953
2020-03-26,97104,151983
2020-03-27,98004,152763
2020-03-28,100534,156030
2020-03-29,101020,153276
2020-03-30,96502,149771
2020-03-31,95498,147209
2020-04-01,59538,146679
2020-04-02,67686,150903
2020-04-03,70186,156521
2020-04-04,72905,157271
2020-04-05,69657,151012
2020-04-06,66570,147223
2020-04-07,66118,146847
2020-04-08,66507,148664
2020-04-09,69646,151386
2020-04-10,73731,157632
2020-04-11,76804,154062
2020-04-12,76062,148387
2020-04-13,75341,148662
2020-04-14,78978,147865
2020-04-15,78858,150057
2020-04-16,78995,154693
2020-04-17,82310,159403
2020-04-18,87066,160022
2020-04-19,79972,152776
2020-04-20,81638,149829
2020-04-21,83128,146877
2020-04-22,87756,147598
2020-04-23,90038,150877
2020-04-24,117064,158292
2020-04-25,106120,166813
2020-04-26,107401,156164
2020-04-27,105784,151639
2020-04-28,108388,149771
2020-04-29,123154,152744
2020-04-30,145992,158600
2020-05-01,136787,165705
2020-05-02,140312,167310
2020-05-03,129752,161727
2020-05-04,110736,154936
2020-05-05,97632,150386
2020-05-06,85992,156358
2020-05-07,83408,157136
2020-05-08,85564,166031
2020-05-09,87304,168043
2020-05-10,95042,159886
2020-05-11,100012,153437
2020-05-12,103243,151983
2020-05-13,103428,155295
2020-05-14,102578,160183
2020-05-15,100471,166835
2020-05-16,102865,164972
2020-05-17,105448,159979
2020-05-18,104146,152715
2020-05-19,104895,152639
2020-05-20,129482,154484
2020-05-21,119424,158712
2020-05-22,121152,164650
2020-05-23,125314,169427
2020-05-24,125566,162979
2020-05-25,120460,156206
2020-05-26,118660,154784
2020-05-27,119637,157061
2020-05-28,124086,160171
2020-05-29,127866,166637
2020-05-30,130144,169100
2020-05-31,128720,163204
2020-06-01,99673,157629
2020-06-02,98042,154974
2020-06-03,98178,158900
2020-06-04,108714,162506
2020-06-05,113572,166391
2020-06-06,122006,169512
2020-06-07,121716,166843
2020-06-08,135478,161380
2020-06-09,112777,164284
2020-06-10,105774,163367
2020-06-11,107440,166145
2020-06-12,111783,171118
2020-06-13,113606,171060
2020-06-14,114366,164912
2020-06-15,114394,162108
2020-06-16,111594,160181
2020-06-17,110201,155673
2020-06-18,112805,152706
2020-06-19,125321,165805
2020-06-20,134967,172573
2020-06-21,138194,167752
2020-06-22,134460,160722
2020-06-23,151025,162783
2020-06-24,126018,158954
2020-06-25,147392,163748
2020-06-26,135863,171649
2020-06-27,137546,173653
2020-06-28,135594,168309
2020-06-29,126980,158659
2020-06-30,125258,160245
2020-07-01,105840,162518
2020-07-02,155659,167101
2020-07-03,131236,167214
2020-07-04,136398,172009
2020-07-05,133518,167519
2020-07-06,128996,159874
2020-07-07,128062,154108
2020-07-08,131940,162992
2020-07-09,154528,165557
2020-07-10,147346,171309
2020-07-11,145100,174930
2020-07-12,142814,171340
2020-07-13,144546,165384
2020-07-14,147130,160738
2020-07-15,177044,162538
2020-07-16,158210,166542
2020-07-17,159092,172929
2020-07-18,155502,176954
2020-07-19,151928,175992
2020-07-20,167783,167832
2020-07-21,150196,163077
2020-07-22,148624,168285
2020-07-23,148054,168750
2020-07-24,148886,172745
2020-07-25,153002,176218
2020-07-26,151176,171612
2020-07-27,161665,153413
2020-07-28,151176,166785
2020-07-29,152226,169839
2020-07-30,159173,172530
2020-07-31,173744,177215
2020-08-01,152156,181532
2020-08-02,161662,176158
2020-08-03,162953,170591
2020-08-04,167688,169161
2020-08-05,167776,170888
2020-08-06,169141,175798
2020-08-07,172630,182012
2020-08-08,197911,184692
2020-08-09,172697,178408
2020-08-10,159604,171537
2020-08-11,162421,170297
2020-08-12,167430,173607
2020-08-13,174010,175870
2020-08-14,185098,183111
2020-08-15,197116,183444
2020-08-16,196578,178713
2020-08-17,186543,172517
2020-08-18,178608,170357
2020-08-19,175749,171421
2020-08-20,172963,173930
2020-08-21,175098,179778
2020-08-22,171798,178879
2020-08-23,168452,177645
2020-08-24,159446,172323
2020-08-25,143118,169528
2020-08-26,105858,152054
2020-08-27,162046,175141
2020-08-28,150745,178568
2020-08-29,133732,182301
2020-08-30,132388,177032
2020-08-31,124600,170730
2020-09-01,87342,168845
2020-09-02,69790,134911
2020-09-03,93786,171086
2020-09-04,94070,177204
2020-09-05,93611,175437
2020-09-06,106530,158642
2020-09-07,85036,151866
2020-09-08,96624,168029
2020-09-09,104366,169548
2020-09-10,139041,171675
2020-09-11,117691,175588
2020-09-12,121208,177932
2020-09-13,119987,171393
2020-09-14,120180,167466
2020-09-15,115395,166125
2020-09-16,113292,165209
2020-09-17,114723,163721
2020-09-18,123736,171072
2020-09-19,129524,175747
2020-09-20,129714,172097
2020-09-21,125912,165744
2020-09-22,121614,164067
2020-09-23,120018,166208
2020-09-24,144120,169189
2020-09-25,135128,175203
2020-09-26,134446,176660
2020-09-27,135118,170911
2020-09-28,134424,165740
2020-09-29,140234,163961
2020-09-30,155648,166875
2020-10-01,152712,169290
2020-10-02,159442,174613
2020-10-03,144844,178245
2020-10-04,118713,172360
2020-10-05,101706,163343
2020-10-06,97926,161691
2020-10-07,103632,166855
2020-10-08,119378,168391
2020-10-09,136546,174209
2020-10-10,141180,176526
2020-10-11,137932,171170
2020-10-12,128268,165689
2020-10-13,127040,161482
2020-10-14,131131,165068
2020-10-15,136192,166426
2020-10-16,142835,170201
2020-10-17,149922,173899
2020-10-18,150724,168675
2020-10-19,126564,163343
2020-10-20,146346,161719
2020-10-21,129597,154677
2020-10-22,133248,165449
2020-10-23,199647,169552
2020-10-24,210483,172048
2020-10-25,204840,167571
2020-10-26,167400,160227
2020-10-27,165062,159830
2020-10-28,165580,163516
2020-10-29,172598,164764
2020-10-30,179050,170617
2020-10-31,180102,173110
2020-11-01,142340,169534
2020-11-02,133868,161180
2020-11-03,132938,156476
2020-11-04,135865,158182
2020-11-05,140590,163360
2020-11-06,146198,172114
2020-11-07,152925,174628
2020-11-08,151968,165759
2020-11-09,145320,158595
2020-11-10,143025,156525
2020-11-11,146542,158936
2020-11-12,159300,163485
2020-11-13,165315,168586
2020-11-14,166248,173163
2020-11-15,161268,169271
2020-11-16,153650,163665
2020-11-17,155570,164316
2020-11-18,151642,169614
2020-11-19,147638,167008
2020-11-20,154995,167958
2020-11-21,157135,172316
2020-11-22,150278,165389
2020-11-23,144378,157772
2020-11-24,141265,155272
2020-11-25,140160,159526
2020-11-26,139568,161482
2020-11-27,140310,166859
2020-11-28,138832,167437
2020-11-29,133010,161987
2020-11-30,171444,156607
2020-12-01,104324,152710
2020-12-02,105606,156846
2020-12-03,110400,158792
2020-12-04,115227,163825
2020-12-05,119098,166685
2020-12-06,119175,161377
2020-12-07,111758,158149
2020-12-08,108472,153641
2020-12-09,109312,155721
2020-12-10,114373,161516
2020-12-11,121184,168057
2020-12-12,125758,169263
2020-12-13,126172,160345
2020-12-14,118909,150858
2020-12-15,115504,149046
2020-12-16,114842,152133
2020-12-17,118780,157279
2020-12-18,116974,163489
2020-12-19,114849,163568
2020-12-20,110750,162167
2020-12-21,107597,156337
2020-12-22,106432,153976
2020-12-23,110012,158061
2020-12-24,116540,161676
2020-12-25,120169,162935
2020-12-26,119984,166668
2020-12-27,112665,162674
2020-12-28,107485,160187
2020-12-29,105574,154568
2020-12-30,99718,148173
2020-12-31,110439,154586
2021-01-01,85340,162831
2021-01-02,89464,165791
2021-01-03,82579,159530
2021-01-04,76111,154872
2021-01-05,73574,151817
2021-01-06,74298,153655
2021-01-07,61400,146978
2021-01-08,59682,154965
2021-01-09,70196,161583
2021-01-10,72674,159438
2021-01-11,79510,151221
2021-01-12,84539,151927
2021-01-13,90674,159615
2021-01-14,96243,161949
2021-01-15,102322,168046
2021-01-16,105298,164669
2021-01-17,105707,158751
2021-01-18,106995,156186
2021-01-19,108734,151296
2021-01-20,109498,157100
2021-01-21,111514,164262
2021-01-22,115472,169567
2021-01-23,117397,163481
2021-01-24,121754,167885
2021-01-25,120743,162472
2021-01-26,119840,154407
2021-01-27,123484,157742
2021-01-28,124712,158767
2021-01-29,132212,160429
2021-01-30,134964,168809
2021-01-31,133108,166519
2021-02-01,96946,156725
2021-02-02,98105,149466
2021-02-03,102400,156046
2021-02-04,105777,159397
2021-02-05,112938,166346
2021-02-06,119108,171207
2021-02-07,120600,166747
2021-02-08,116308,154003
2021-02-09,116196,152572
2021-02-10,130722,157339
2021-02-11,149782,163274
2021-02-12,165442,171707
2021-02-13,164486,174446
2021-02-14,148194,169696
2021-02-15,133382,157433
2021-02-16,132699,153693
2021-02-17,129658,152187
2021-02-18,134897,157173
2021-02-19,147928,167195
2021-02-20,154910,178604
2021-02-21,158336,174758
2021-02-22,158624,164322
2021-02-23,157280,156119
2021-02-24,157213,161647
2021-02-25,155372,161494
2021-02-26,157745,170222
2021-02-27,170114,174245
2021-02-28,171510,172086
2021-03-01,132307,164321
2021-03-02,122059,156652
2021-03-03,114107,160948
2021-03-04,115300,161491
2021-03-05,126168,171833
2021-03-06,132920,173712
2021-03-07,135947,168567
2021-03-08,135048,162556
2021-03-09,133917,160171
2021-03-10,135692,162686
2021-03-11,139506,166435
2021-03-12,147056,169022
2021-03-13,158403,174439
2021-03-14,161679,168820
2021-03-15,157294,165656
2021-03-16,150955,160039
2021-03-17,149614,163379
2021-03-18,152862,168721
2021-03-19,161766,173976
2021-03-20,168178,174839
2021-03-21,173936,166929
2021-03-22,174752,162600
2021-03-23,173012,161836
2021-03-24,175942,165903
2021-03-25,184205,169198
2021-03-26,189651,173676
2021-03-27,186823,180491
2021-03-28,185188,172908
2021-03-29,177758,168723
2021-03-30,169491,163681
2021-03-31,167426,168819
2021-04-01,130823,169628
2021-04-02,141771,177192
2021-04-03,149919,181451
2021-04-04,152730,169566
2021-04-05,148768,165675
2021-04-06,149240,164424
2021-04-07,152548,168187
2021-04-08,161448,169943
2021-04-09,170496,175315
2021-04-10,177230,177850
2021-04-11,175742,175158
2021-04-12,157902,166736
2021-04-13,153426,163428
2021-04-14,157276,164068
2021-04-15,171444,168890
2021-04-16,180744,176315
2021-04-17,188678,178443
2021-04-18,187800,172012
2021-04-19,180173,167979
2021-04-20,169862,166430
2021-04-21,166358,170829
2021-04-22,173285,177210
2021-04-23,181220,179839
2021-04-24,190918,181178
2021-04-25,193697,176240
2021-04-26,184118,170033
2021-04-27,173428,168069
2021-04-28,169477,171694
2021-04-29,175483,175517
2021-04-30,183281,176778
2021-05-01,165700,176357
2021-05-02,168662,174212
2021-05-03,156062,169941
2021-05-04,146506,168595
2021-05-05,166380,170626
2021-05-06,162050,175434
2021-05-07,167766,180392
2021-05-08,172774,182009
2021-05-09,168196,178644
2021-05-10,160122,175527
2021-05-11,154242,171473
2021-05-12,155978,173465
2021-05-13,164980,177682
2021-05-14,170076,183821
2021-05-15,177562,186195
2021-05-16,173834,180198
2021-05-17,166394,171804
2021-05-18,169690,170871
2021-05-19,178560,175860
2021-05-20,174142,170548
2021-05-21,182833,181212
2021-05-22,193781,185079
2021-05-23,187698,180837
2021-05-24,176522,174289
2021-05-25,170128,172733
2021-05-26,169032,169494
2021-05-27,177030,176180
2021-05-28,185514,181377
2021-05-29,192594,185766
2021-05-30,190141,181519
2021-05-31,174982,176499
